ID,sentiment
3001,Negative
3002,Negative
3003,Negative
3004,Negative
3005,Positive
3006,Positive
3007,Positive
3008,Negative
3009,Positive
3010,Positive
3011,Negative
3012,Positive
3013,Positive
3014,Negative
3015,Negative
3016,Negative
3017,Positive
3018,Positive
3019,Negative
3020,Positive
3021,Negative
3022,Positive
3023,Positive
3024,Negative
3025,Positive
3026,Negative
3027,Negative
3028,Positive
3029,Positive
3030,Positive
3031,Negative
3032,Negative
3033,Positive
3034,Negative
3035,Positive
3036,Positive
3037,Positive
3038,Positive
3039,Positive
3040,Positive
3041,Positive
3042,Negative
3043,Positive
3044,Negative
3045,Negative
3046,Positive
3047,Negative
3048,Negative
3049,Positive
3050,Positive
3051,Positive
3052,Positive
3053,Negative
3054,Positive
3055,Negative
3056,Positive
3057,Negative
3058,Negative
3059,Positive
3060,Negative
3061,Negative
3062,Negative
3063,Negative
3064,Negative
3065,Negative
3066,Negative
3067,Positive
3068,Negative
3069,Positive
3070,Negative
3071,Negative
3072,Negative
3073,Positive
3074,Negative
3075,Positive
3076,Negative
3077,Negative
3078,Negative
3079,Positive
3080,Positive
3081,Positive
3082,Negative
3083,Positive
3084,Positive
3085,Positive
3086,Positive
3087,Negative
3088,Negative
3089,Negative
3090,Negative
3091,Negative
3092,Positive
3093,Negative
3094,Positive
3095,Positive
3096,Positive
3097,Positive
3098,Negative
3099,Positive
3100,Negative
3101,Positive
3102,Positive
3103,Negative
3104,Negative
3105,Positive
3106,Negative
3107,Positive
3108,Positive
3109,Positive
3110,Negative
3111,Positive
3112,Negative
3113,Negative
3114,Negative
3115,Negative
3116,Positive
3117,Positive
3118,Positive
3119,Positive
3120,Positive
3121,Negative
3122,Negative
3123,Negative
3124,Positive
3125,Negative
3126,Negative
3127,Positive
3128,Positive
3129,Positive
3130,Negative
3131,Positive
3132,Positive
3133,Negative
3134,Positive
3135,Negative
3136,Positive
3137,Negative
3138,Positive
3139,Positive
3140,Positive
3141,Negative
3142,Negative
3143,Positive
3144,Negative
3145,Negative
3146,Positive
3147,Positive
3148,Positive
3149,Positive
3150,Positive
3151,Positive
3152,Negative
3153,Negative
3154,Positive
3155,Positive
3156,Negative
3157,Negative
3158,Positive
3159,Positive
3160,Negative
3161,Positive
3162,Negative
3163,Positive
3164,Positive
3165,Positive
3166,Positive
3167,Negative
3168,Positive
3169,Positive
3170,Positive
3171,Positive
3172,Positive
3173,Negative
3174,Positive
3175,Positive
3176,Negative
3177,Positive
3178,Negative
3179,Negative
3180,Positive
3181,Negative
3182,Positive
3183,Positive
3184,Positive
3185,Negative
3186,Negative
3187,Positive
3188,Positive
3189,Positive
3190,Negative
3191,Positive
3192,Positive
